Name,Version,Date,Format,,,,,,,,,,,,,,,,
TACOT,3.0.3,1/21/21,FIAT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Virgin properties,,,,,Char properties,,,,,,Pyrolysis enthalpy,,,,Constant properties,,
Pressure(atm),Temperature(R),cp_virgin(BTU/lb/R),k_tt_virgin(BTU/(ft.s.R),emissivity_virgin(-),absorptivity_virgin(-),k_ip_virgin(BTU/(ft.s.R),cp_char(BTU/lb/R),k_tt_char(BTU/(ft.s.R),emissivity_char(-),absorptivity_char(-),k_ip_char(BTU/(ft.s.R),,Pressure(atm),Temperature(R),h_g(BTU/lb),,Type,4,Material type: pyrolysis and ablation
,,,,,,,,,,,,,0.1,4140,2973.02,,,,
,,,,,,,,,,,,,0.1,4680,4263.47,,,,
,,,,,,,,,,,,,0.1,5220,6647.43,,,,
,,,,,,,,,,,,,0.1,5760,10508.33,,,,
,,,,,,,,,,,,,0.1,6300,15032.86,,,,
,,,,,,,,,,,,,0.01,3.60E+02,-2.82E+03,,,,
,,,,,,,,,,,,,0.01,4.50E+02,-2.91E+03,,,,
,,,,,,,,,,,,,0.01,5.36E+02,-2.94E+03,,,,
,,,,,,,,,,,,,0.01,6.30E+02,-2949.7,,,,
,,,,,,,,,,,,,0.01,7.20E+02,-2933.67,,,,
,,,,,,,,,,,,,0.01,8.10E+02,-2897.95,,,,
,,,,,,,,,,,,,0.01,9.00E+02,-2837.58,,,,
,,,,,,,,,,,,,0.01,1.08E+03,-2582.26,,,,
,,,,,,,,,,,,,0.01,1.26E+03,-1698.6,,,,
,,,,,,,,,,,,,0.01,1.44E+03,-1124.7,,,,
,,,,,,,,,,,,,0.01,1.62E+03,-962.55,,,,
,,,,,,,,,,,,,0.01,1.80E+03,-536.58,,,,
,,,,,,,,,,,,,0.01,2160,202.57,,,,
,,,,,,,,,,,,,0.01,2520,1219.88,,,,
,,,,,,,,,,,,,0.01,2880,1574.48,,,,
,,,,,,,,,,,,,0.01,3240,1917.31,,,,
,,,,,,,,,,,,,0.01,3600,2368.77,,,,
,,,,,,,,,,,,,0.01,4140,3583.73,,,,
,,,,,,,,,,,,,0.01,4680,6296.01,,,,
,,,,,,,,,,,,,0.01,5220,11237.62,,,,
,,,,,,,,,,,,,0.01,5760,16306,,,,
,,,,,,,,,,,,,0.01,6300,20115.42,,,,
,,,,,,,,,,,,,0.001,3.60E+02,-2.82E+03,,,,
,,,,,,,,,,,,,0.001,4.50E+02,-2.91E+03,,,,
,,,,,,,,,,,,,0.001,5.36E+02,-2.94E+03,,,,
,,,,,,,,,,,,,0.001,6.30E+02,-2948.61,,,,
,,,,,,,,,,,,,0.001,7.20E+02,-2927.35,,,,
,,,,,,,,,,,,,0.001,8.10E+02,-2874.61,,,,
,,,,,,,,,,,,,0.001,9.00E+02,-2781.65,,,,
,,,,,,,,,,,,,0.001,1.08E+03,-2218.65,,,,
,,,,,,,,,,,,,0.001,1.26E+03,-1258.17,,,,
,,,,,,,,,,,,,0.001,1.44E+03,-1098.84,,,,
,,,,,,,,,,,,,0.001,1.62E+03,-613.66,,,,
,,,,,,,,,,,,,0.001,1.80E+03,-227.02,,,,
,,,,,,,,,,,,,0.001,2160,605.66,,,,
,,,,,,,,,,,,,0.001,2520,1276.73,,,,
,,,,,,,,,,,,,0.001,2880,1596.88,,,,
,,,,,,,,,,,,,0.001,3240,2017.28,,,,
,,,,,,,,,,,,,0.001,3600,2.72E+03,,,,
,,,,,,,,,,,,,0.001,4140,5.24E+03,,,,
,,,,,,,,,,,,,0.001,4680,1.10E+04,,,,
,,,,,,,,,,,,,0.001,5220,1.65E+04,,,,
,,,,,,,,,,,,,0.001,5760,2.02E+04,,,,
,,,,,,,,,,,,,0.001,6300,2.25E+04,,,,
 ,,,,,,,,,,,,,,,,,,,
