Name,Version,Date,Format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TACOT,3.0.0,1/1/20,PATO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Virgin properties,,,,,,,Char properties,,,,,,,,Constant properties,,,,,,,,,,,,,,,,,,,,,,
Pressure(Pa),Temperature(K),cp_virgin(J/kg/K),h_virgin(J/kg),ki_virgin(W/m/K),kj_virgin(W/m/K),kk_virgin(W/m/K),emissivity_virgin(-),absorptivity_virgin(-),cp_char(J/kg/K),h_char(J/kg),ki_char(W/m/K),kj_char(W/m/K),kk_char(W/m/K),emissivity_char(-),absorptivity_char(-),,nSolidPhases,2,number of solid phases,,,,,,,,,,,,,,,,,,,,
1.00E+00,6.44E+02,1.57E+03,-4.02E+05,4.70E-01,4.70E-01,4.70E-01,0.8,0.8,1.43E+03,3.94E+05,4.70E-01,4.70E-01,4.70E-01,0.9,0.9,,F_2,0.19,Parameter of pyrolysis reaction 2,,,,,,,,,,,,,,,,,,,,
1.00E+00,8.33E+02,1.72E+03,-9.12E+04,4.86E-01,4.86E-01,4.86E-01,0.8,0.8,1.68E+03,6.87E+05,4.86E-01,4.86E-01,4.86E-01,0.9,0.9,,A_2,4.98E+08,Parameter of pyrolysis reaction 2,,,,,,,,,,,,,,,,,,,,
1.00E+00,1.11E+03,1.86E+03,4.06E+05,5.23E-01,5.23E-01,5.23E-01,0.8,0.8,1.84E+03,1.18E+06,5.23E-01,5.23E-01,5.23E-01,0.9,0.9,,E_2,1.70E+05,Parameter of pyrolysis reaction 2,,,,,,,,,,,,,,,,,,,,
1.00E+00,1.39E+03,1.93E+03,9.33E+05,5.60E-01,5.60E-01,5.60E-01,0.8,0.8,1.97E+03,1.71E+06,5.60E-01,5.60E-01,5.60E-01,0.9,0.9,,m_2,3,Parameter of pyrolysis reaction 2,,,,,,,,,,,,,,,,,,,,
1.00E+00,1.67E+03,1.98E+03,1.48E+06,6.98E-01,6.98E-01,6.98E-01,0.8,0.8,2.05E+03,2.26E+06,6.05E-01,6.05E-01,6.05E-01,0.9,0.9,,n_2,0,Parameter of pyrolysis reaction 2,,,,,,,,,,,,,,,,,,,,
1.00E+00,1.94E+03,1.99E+03,2.03E+06,8.72E-01,8.72E-01,8.72E-01,0.8,0.8,2.09E+03,2.84E+06,7.29E-01,7.29E-01,7.29E-01,0.9,0.9,,T_2,5.56E+02,Parameter of pyrolysis reaction 2,,,,,,,,,,,,,,,,,,,,
1.00E+00,2.22E+03,2.00E+03,2.58E+06,1.11E+00,1.11E+00,1.11E+00,0.8,0.8,2.11E+03,3.42E+06,9.22E-01,9.22E-01,9.22E-01,0.9,0.9,,h_2,-4.00E+06,Parameter of pyrolysis reaction 2,,,,,,,,,,,,,,,,,,,,
1.00E+00,2.78E+03,2.01E+03,3.70E+06,1.75E+00,1.75E+00,1.75E+00,0.8,0.8,2.14E+03,4.60E+06,1.46E+00,1.46E+00,1.46E+00,0.9,0.9,,F_3,0.06,Parameter of pyrolysis reaction 3,,,,,,,,,,,,,,,,,,,,
1.00E+00,3.33E+03,2.01E+03,4.81E+06,2.78E+00,2.78E+00,2.78E+00,0.8,0.8,2.15E+03,5.79E+06,2.32E+00,2.32E+00,2.32E+00,0.9,0.9,,A_3,4.98E+08,Parameter of pyrolysis reaction 3,,,,,,,,,,,,,,,,,,,,
1.00E+00,4.00E+03,2.01E+03,6.15E+06,2.78E+00,2.78E+00,2.78E+00,0.8,0.8,2.15E+03,7.23E+06,2.32E+00,2.32E+00,2.32E+00,0.9,0.9,,E_3,1.70E+05,Parameter of pyrolysis reaction 3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,m_3,3,Parameter of pyrolysis reaction 3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,n_3,0,Parameter of pyrolysis reaction 3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,T_3,5.56E+02,Parameter of pyrolysis reaction 3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,h_3,-4.00E+06,Parameter of pyrolysis reaction 3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
